equipo,edicion,pais,valor_mercado,promedio_valor_mercado,promedio_edad,cantidad_jugadores,cantidad_jugadores_extranjeros
Sport Huancayo,2013,Ecuador,2.43,0.066,26.4,37,37
Esporte Clube Vitória,2013,Ecuador,17.1,0.311,24.2,55,55
Club Atlético Belgrano,2013,Ecuador,15.53,0.409,27.2,38,38
Criciúma Esporte Clube,2013,Ecuador,15.55,0.311,25.0,50,50
Deportivo Lara,2013,Ecuador,2.43,0.073,26.9,33,33
Deportes Cobreloa,2013,Ecuador,11.08,0.252,25.7,44,44
Mineros de Guayana,2013,Ecuador,4.45,0.106,27.6,42,42
Club Juan Aurich,2013,Ecuador,6.55,0.152,23.5,43,42
Real Potosí,2013,Ecuador,0.6,0.032,26.1,19,19
Trujillanos FC,2013,Ecuador,0.95,0.026,24.6,36,36
Associação Portuguesa de Desportos (SP) ,2013,Ecuador,16.9,0.319,24.2,53,53
Deportivo Anzoátegui SC,2013,Ecuador,2.53,0.062,25.0,41,41
LDU de Loja,2013,Ecuador,2.2,0.048,24.0,46,7
El Tanque Sisley,2013,Ecuador,7.75,0.204,25.6,38,38
Sociedade Esportiva Palmeiras,2012,Ecuador,46.55,0.763,24.4,61,61
CA Boca Juniors,2012,Ecuador,43.0,0.977,25.1,44,44
São Paulo FC,2012,Ecuador,122.05,2.35,23.9,52,52
Grêmio Foot-Ball Porto Alegrense,2012,Ecuador,52.5,1.12,24.6,47,47
Botafogo de Futebol e Regatas,2012,Ecuador,40.05,0.77,24.1,52,52
Racing Club,2012,Ecuador,41.95,0.953,25.3,44,44
Club Atlético Colón,2012,Ecuador,27.28,0.634,26.0,43,43
Club Atlético Independiente,2012,Ecuador,44.23,0.885,25.6,50,50
Club Cerro Porteño,2012,Ecuador,12.03,0.463,27.4,26,26
AA Argentinos Juniors,2012,Ecuador,18.03,0.34,23.7,53,52
Millonarios FC,2012,Ecuador,17.8,0.494,24.5,36,36
Deportes Tolima,2012,Ecuador,15.28,0.424,25.4,36,36
Club Nacional,2012,Ecuador,22.8,0.507,25.9,45,45
Club Olimpia Asunción,2012,Ecuador,15.93,0.455,26.4,35,35
Club Atlético Tigre,2012,Ecuador,20.63,0.503,26.3,41,41
Coritiba Foot Ball Club,2012,Ecuador,19.65,0.357,24.2,55,55
CD Universidad Católica,2012,Ecuador,24.3,0.458,23.7,53,53
CS Emelec,2012,Ecuador,7.8,0.163,25.9,48,8
Barcelona SC Guayaquil,2012,Ecuador,17.15,0.39,24.7,44,9
Atlético Clube Goianiense,2012,Ecuador,12.15,0.253,25.1,48,48
Esporte Clube Bahia,2012,Ecuador,18.3,0.373,24.3,49,49
Club Guaraní,2012,Ecuador,4.68,0.213,26.3,22,22
Liverpool FC Montevideo,2012,Ecuador,13.95,0.324,24.4,43,43
Universidad de Chile,2012,Ecuador,24.08,0.602,22.5,40,39
Club Deportivo Oriente Petrolero,2012,Ecuador,0.9,0.05,23.3,18,18
CD La Equidad Seguros SA,2012,Ecuador,19.98,0.363,25.7,55,55
CD O'Higgins,2012,Ecuador,10.05,0.264,23.1,38,38
Envigado FC,2012,Ecuador,12.33,0.316,23.8,39,39
Blooming Santa Cruz,2012,Ecuador,1.95,0.098,27.9,20,20
Ayacucho FC,2012,Ecuador,4.3,0.086,25.3,50,50
Danubio FC,2012,Ecuador,7.83,0.217,24.1,36,36
Deportivo Táchira,2012,Ecuador,8.55,0.19,25.5,45,45
Universidad San Martín de Porres,2012,Ecuador,6.5,0.171,24.0,38,38
Club Aurora,2012,Ecuador,1.5,0.039,27.7,38,38
CD Unión Comercio,2012,Ecuador,3.93,0.106,25.7,37,37
Cerro Largo FC,2012,Ecuador,8.33,0.185,24.7,45,45
Monagas SC,2012,Ecuador,1.7,0.041,24.2,41,41
Deportivo Lara,2012,Ecuador,3.08,0.093,27.9,33,33
Club Universitario de Sucre,2012,Ecuador,0.4,0.022,26.6,18,18
Deportes Cobreloa,2012,Ecuador,9.75,0.25,24.9,39,39
Deportes Iquique,2012,Ecuador,9.48,0.226,26.2,42,42
Mineros de Guayana,2012,Ecuador,6.2,0.177,26.9,35,35
Tacuary Football Club,2012,Ecuador,0.45,0.024,24.3,19,19
Figueirense Futebol Clube,2012,Ecuador,18.65,0.301,23.6,62,62
Deportivo Quito,2012,Ecuador,8.0,0.154,25.1,52,11
CD León de Huánuco,2012,Ecuador,3.65,0.085,24.7,43,43
LDU de Loja,2012,Ecuador,3.5,0.061,25.5,57,7
Sociedade Esportiva Palmeiras,2011,Ecuador,52.3,1.14,24.6,46,46
Clube de Regatas do Flamengo,2011,Ecuador,50.6,1.01,24.1,50,50
Clube Atlético Mineiro,2011,Ecuador,50.9,0.808,25.3,63,61
São Paulo FC,2011,Ecuador,82.18,1.61,23.4,51,51
Club Athletico Paranaense,2011,Ecuador,25.15,0.585,24.3,43,42
Botafogo de Futebol e Regatas,2011,Ecuador,33.25,0.95,24.4,35,35
CA Vélez Sarsfield,2011,Ecuador,50.23,1.36,24.7,37,37
Club Estudiantes de La Plata,2011,Ecuador,48.9,1.16,25.2,42,42
Club Atlético Independiente,2011,Ecuador,41.4,0.9,24.4,46,46
Club Atlético Lanús,2011,Ecuador,37.03,0.926,24.7,40,40
Club Libertad Asunción,2011,Ecuador,15.75,0.426,25.2,37,37
Ceará Sporting Club,2011,Ecuador,17.95,0.359,26.6,50,50
CD Godoy Cruz Antonio Tomba,2011,Ecuador,25.43,0.62,25.4,41,40
Club de Regatas Vasco da Gama,2011,Ecuador,40.45,0.778,24.4,52,52
AA Argentinos Juniors,2011,Ecuador,26.1,0.544,24.4,48,47
Club Nacional,2011,Ecuador,24.75,0.527,24.7,47,47
Club Olimpia Asunción,2011,Ecuador,17.75,0.413,26.7,43,43
CD Universidad Católica,2011,Ecuador,17.45,0.397,23.8,44,44
CS Emelec,2011,Ecuador,7.9,0.193,25.9,41,9
LDU Quito,2011,Ecuador,18.48,0.44,27.1,42,8
Deportivo Cali,2011,Ecuador,7.13,0.155,23.4,46,46
Independiente Santa Fe,2011,Ecuador,20.13,0.403,25.2,50,50
The Strongest La Paz,2011,Ecuador,0.85,0.027,28.0,32,32
Universitario de Deportes,2011,Ecuador,7.68,0.174,23.8,44,44
Arsenal Fútbol Club,2011,Ecuador,26.95,0.793,26.2,34,34
Universidad de Chile,2011,Ecuador,22.0,0.629,23.7,35,35
CD La Equidad Seguros SA,2011,Ecuador,8.45,0.18,24.5,47,46
Universidad César Vallejo,2011,Ecuador,6.8,0.145,26.8,47,47
Club Nacional Asunción,2011,Ecuador,4.35,0.14,26.6,31,31
CA Fénix,2011,Ecuador,10.85,0.258,23.8,42,42
Club Aurora,2011,Ecuador,1.43,0.046,27.9,31,31
Deportes Iquique,2011,Ecuador,5.8,0.161,28.4,36,36
Club Juan Aurich,2011,Ecuador,6.9,0.197,26.2,35,35
Yaracuyanos Fútbol Club,2011,Ecuador,0.225,0.006,25.2,36,36
Trujillanos FC,2011,Ecuador,0.625,0.017,23.7,37,37
Club Atlético Bella Vista,2011,Ecuador,11.3,0.283,25.8,40,40
Deportivo Quito,2011,Ecuador,10.35,0.225,27.4,46,11
GV Club Deportivo San José Oruro,2011,Ecuador,1.38,0.032,26.6,43,43
Deportivo Anzoátegui SC,2011,Ecuador,3.05,0.073,25.0,42,42
Sociedade Esportiva Palmeiras,2010,Ecuador,54.85,1.1,23.2,50,50
Clube Atlético Mineiro,2010,Ecuador,53.15,0.83,24.4,64,62
Santos FC,2010,Ecuador,89.9,2.0,22.8,45,45
Grêmio Foot-Ball Porto Alegrense,2010,Ecuador,48.55,1.16,24.0,42,42
CA Vélez Sarsfield,2010,Ecuador,49.05,1.2,24.4,41,41
Club Estudiantes de La Plata,2010,Ecuador,60.63,1.35,24.8,45,45
Club Atlético Independiente,2010,Ecuador,37.3,0.867,24.2,43,43
Club Cerro Porteño,2010,Ecuador,13.53,0.301,24.6,45,45
CA Newell's Old Boys,2010,Ecuador,32.8,0.911,25.5,36,36
CA Banfield,2010,Ecuador,36.13,0.821,25.4,44,44
AA Argentinos Juniors,2010,Ecuador,34.2,0.658,24.5,52,52
Deportes Tolima,2010,Ecuador,1.65,0.039,25.1,42,42
Club Olimpia Asunción,2010,Ecuador,11.78,0.302,25.7,39,39
Avaí Futebol Clube (SC),2010,Ecuador,17.4,0.341,23.5,51,51
CSD Colo Colo,2010,Ecuador,23.65,0.676,24.8,35,35
CS Emelec,2010,Ecuador,8.5,0.243,25.8,35,9
Barcelona SC Guayaquil,2010,Ecuador,6.8,0.283,24.5,24,4
CA Peñarol,2010,Ecuador,21.8,0.559,25.1,39,39
Goiás Esporte Clube,2010,Ecuador,34.6,0.549,25.3,63,63
LDU Quito,2010,Ecuador,21.35,0.647,28.1,33,7
Club Guaraní,2010,Ecuador,4.88,0.128,25.1,38,38
Independiente Santa Fe,2010,Ecuador,15.34,0.383,24.6,40,40
Universidad de Chile,2010,Ecuador,19.9,0.524,24.5,38,38
Club Deportivo Oriente Petrolero,2010,Ecuador,2.05,0.076,26.5,27,27
Atletico River Plate Montevideo,2010,Ecuador,15.6,0.332,24.4,47,47
Universidad César Vallejo,2010,Ecuador,4.7,0.142,26.3,33,33
Defensor Sporting Club,2010,Ecuador,14.05,0.299,24.4,47,47
Sport Huancayo,2010,Ecuador,2.65,0.083,27.6,32,32
Caracas FC,2010,Ecuador,3.78,0.105,25.9,36,36
Universidad San Martín de Porres,2010,Ecuador,7.83,0.237,25.0,33,33
Esporte Clube Vitória,2010,Ecuador,28.6,0.447,24.5,64,64
Deportivo Lara,2010,Ecuador,0.625,0.033,26.5,19,19
Club Universitario de Sucre,2010,Ecuador,0.625,0.019,25.5,33,33
CD Atlético Huila,2010,Ecuador,2.13,0.061,26.2,35,35
Unión San Felipe,2010,Ecuador,6.78,0.183,24.4,37,37
Trujillanos FC,2010,Ecuador,0.075,0.003,24.5,24,24
Deportivo Quito,2010,Ecuador,9.6,0.282,26.5,34,7
GV Club Deportivo San José Oruro,2010,Ecuador,,,25.8,26,26
Grêmio Barueri Futebol Ltda.,2010,Ecuador,18.53,0.343,23.3,54,54
